Address,Country,Latitude,Longitude,Address found
"1 Union Place, Hartford CT 06103",usa,41.7688862,-72.6815433,"1 Union Pl, Hartford, CT 06103, USA"
950 Main St Hartford CT 06103,usa,41.7681484,-72.672398,"Capital Community College, 950 Main St, Hartford, CT 06103, USA"
"55 Manafort Drive, New Britain CT 06053",usa,41.6882077,-72.7679453,"55 Paul Manafort Senior Dr, New Britain, CT 06053, USA"
"1615 Stanley St, New Britain CT 06050",usa,41.6907573,-72.7709772,"1615 Stanley St, New Britain, CT 06051, USA"
"Great Path, Manchester CT 06040",usa,41.7622906,-72.5670043,"Great Path, Manchester, CT 06040, USA"
"14 Prospect St, Hartford CT 06103",usa,41.762617,-72.6727081,"14 Prospect St, Hartford, CT 06103, USA"
"200 Bloomfield Ave, West Hartford CT 06117",usa,41.7984508,-72.7137664,"200 Bloomfield Ave, West Hartford, CT 06117, USA"
"77 Sherman St, Hartford CT 06105",usa,41.7698825,-72.7077303,"77 Sherman St, Hartford, CT 06105, USA"
"467 Bloomfield Ave, Bloomfield CT 06002",usa,41.8069966,-72.7334989,"467 Bloomfield Ave, Bloomfield, CT 06002, USA"
"1 Riverside Drive, East Hartford CT 06118",usa,41.7428246,-72.6404704,"1 Riverside Dr, East Hartford, CT 06118, USA"
"1678 Asylum Ave, West Hartford CT 06117",usa,41.780976,-72.7284655,"University of Saint Joseph, 1678 Asylum Ave, West Hartford, CT 06117, USA"
"300 Summit St, Hartford CT 06106",usa,41.7473639,-72.6907806,"300 Summit St, Hartford, CT 06106, USA"